category,n_markets,alpha_mean,alpha_std,alpha_hdi_lo,alpha_hdi_hi,alpha_sig,beta_mean,beta_std,beta_hdi_lo,beta_hdi_hi,beta_sig,prob_overconf,prob_underconf
business,19,-0.0360373032235449,0.21243617521416505,-0.45036914266026623,0.3409200575620759,False,1.3784852381865418,0.6413064263528997,0.08360792239737479,2.5804258757849814,False,0.224375,0.775625
chess,6,-0.33934732507492904,0.3154657071683539,-0.9147533625594346,0.2642538094822654,False,1.3750750466432806,0.6252881017886931,0.1417798767660007,2.5465888904433025,False,0.222375,0.777625
coronavirus,24,0.1561557140383204,0.19700501121331707,-0.1986326840964839,0.5288033010972987,False,1.3817865323413145,0.6435676305458544,0.15480819175564392,2.6064443587770936,False,0.224125,0.775875
crypto,44,-0.7945285914522034,0.15493137177919167,-1.0990409791049902,-0.5154722375796442,True,1.3759909945807705,0.6450068561261205,0.10922066672148381,2.5579748299838965,False,0.227875,0.772125
global politics,8,-0.25245756379997386,0.28241302927526574,-0.7713210071069005,0.29231572209346546,False,1.3638883740892422,0.651076578133445,0.0562123164627096,2.5260205251709995,False,0.227625,0.772375
nfts,14,0.07888393187978014,0.24365356307362832,-0.36467432383432546,0.5486545580404247,False,1.3786386179400447,0.642403230876939,0.06974886219011911,2.5446532918809632,False,0.222,0.778
pop-culture,22,-0.6964799457865196,0.19992170350809826,-1.0779875968052344,-0.32458786801558415,True,1.3814066150191402,0.6423414795682062,0.17369315784200176,2.625846223000593,False,0.219875,0.780125
science,9,-0.3145968308893131,0.27249530192072086,-0.8177449972156485,0.20122749632383807,False,1.372919460119912,0.6435572686104618,0.11850804050647637,2.5940191344773824,False,0.22825,0.77175
sports,29,-0.7942062940150978,0.1854517802120962,-1.1357768261657653,-0.44494319509017943,True,1.366849838235447,0.6430101654586202,0.05630851696678788,2.5483866599753164,False,0.2305,0.7695
ukraine & russia,9,-0.4212335918817271,0.2767122677652086,-0.9248948680348944,0.11564593003726902,False,1.3745526047119179,0.6444535927917532,0.12149752603356409,2.568483055289019,False,0.22425,0.77575
unknown,250,-0.9154275466910108,0.07365265721352078,-1.0555283847042114,-0.7808957114265114,True,1.6206117551166266,0.3875329106340349,0.9455154786324433,2.365166467408919,False,0.030625,0.969375
us-current-affairs,43,-0.6170864535277427,0.15487350465602848,-0.9111692598641843,-0.3296945193299864,True,1.3818705106253237,0.6406903300805212,0.15050099191899588,2.618568685997153,False,0.223375,0.776625
